suburb_id,suburb,post,industry,count
0,Aarons Pass,2850,coffee shop,0
1,Abbotsbury,2176,coffee shop,3
2,Abbotsford,2046,coffee shop,3
3,Abercrombie,2795,coffee shop,0
4,Abercrombie River,2795,coffee shop,0
5,Aberdare,2325,coffee shop,0
6,Aberdeen,2336,coffee shop,0
7,Aberfoyle,2350,coffee shop,0
8,Aberglasslyn,2320,coffee shop,1
9,Abermain,2326,coffee shop,0
10,Abernethy,2325,coffee shop,0
11,Abington,2350,coffee shop,0
12,Acacia Creek,2476,coffee shop,0
13,Acacia Gardens,2763,coffee shop,0
14,Adaminaby,2629,coffee shop,2
15,Adamstown,2289,coffee shop,10
16,Adamstown Heights,2289,coffee shop,0
17,Adelong,2729,coffee shop,1
18,Adjungbilly,2727,coffee shop,0
19,Afterlee,2474,coffee shop,0
20,Agnes Banks,2753,coffee shop,0
21,Airds,2560,coffee shop,0
22,Akolele,2546,coffee shop,0
23,Albert,2873,coffee shop,0
24,Albion Park,2527,coffee shop,9
25,Albion Park Rail,2527,coffee shop,4
26,Albury,2640,coffee shop,44
27,Aldavilla,2440,coffee shop,0
28,Alectown,2870,coffee shop,0
29,Alexandria,2015,coffee shop,40
30,Alfords Point,2234,coffee shop,0
31,Alfredtown,2650,coffee shop,0
32,Alice,2470,coffee shop,0
33,Alison,2420,coffee shop,0
34,Allambie Heights,2100,coffee shop,4
35,Allandale,2320,coffee shop,0
36,Allawah,2218,coffee shop,1
37,Alleena,2671,coffee shop,0
38,Allgomera,2441,coffee shop,0
39,Allworth,2425,coffee shop,0
40,Allynbrook,2311,coffee shop,0
41,Alma Park,2659,coffee shop,0
42,Alpine,2575,coffee shop,0
43,Alstonvale,2477,coffee shop,0
44,Alstonville,2477,coffee shop,6
45,Alumy Creek,2460,coffee shop,0
46,Amaroo,2866,coffee shop,0
47,Ambarvale,2560,coffee shop,2
48,Anabranch North,2648,coffee shop,0
49,Anabranch South,2648,coffee shop,0
50,Anambah,2320,coffee shop,0
51,Ando,2631,coffee shop,0
52,Anembo,2621,coffee shop,0
53,Angledale,2550,coffee shop,0
54,Angledool,2834,coffee shop,0
55,Anglers Reach,2629,coffee shop,0
56,Angourie,2464,coffee shop,0
57,Anna Bay,2316,coffee shop,4
58,Annandale,2038,coffee shop,15
59,Annangrove,2156,coffee shop,2
60,Appin,2560,coffee shop,2
61,Apple Tree Flat,2850,coffee shop,0
62,Appleby,2340,coffee shop,0
63,Appletree Flat,2330,coffee shop,0
64,Apsley,2820,coffee shop,0
65,Arable,2630,coffee shop,0
66,Arakoon,2431,coffee shop,1
67,Araluen,2622,coffee shop,0
68,Aratula,2714,coffee shop,0
69,Arcadia,2159,coffee shop,1
70,Arcadia Vale,2283,coffee shop,0
71,Ardglen,2338,coffee shop,0
72,Arding,2358,coffee shop,0
73,Ardlethan,2665,coffee shop,2
74,Argalong,2720,coffee shop,0
75,Argenton,2284,coffee shop,1
76,Argents Hill,2449,coffee shop,0
77,Argoon,2707,coffee shop,0
78,Argyle,2350,coffee shop,0
79,Ariah Park,2665,coffee shop,1
